   seconds    count   ms/call  share  phase
   915.483     1232    743.09  22.2%  execute_model
   909.918     1227    741.58  22.1%  target_forward
   497.255    51575      9.64  12.1%  moe
   416.881    52802      7.90  10.1%  moe_routed
   230.437    41752      5.52   5.6%  kda_attn
   180.045    51727      3.48   4.4%  moe_w13
   119.251    13508      8.83   2.9%  mla_attn
   101.889    41752      2.44   2.5%  kda_in_proj
    87.084    51727      1.68   2.1%  moe_w2sum
    71.936     1075     66.92   1.7%  moe_mm_w2
    69.192     1075     64.37   1.7%  moe_mm_w13
    55.273    14735      3.75   1.3%  mla_core
    54.505    41752      1.31   1.3%  kda_core
    48.454     1227     39.49   1.2%  sample_tokens
    48.433    52802      0.92   1.2%  moe_shared
    40.204    41752      0.96   1.0%  kda_o_proj
    33.530    14735      2.28   0.8%  mla_mqa
    31.265     1227     25.48   0.8%  drafter_propose
    24.745    14735      1.68   0.6%  mla_indexer
    24.312    55260      0.44   0.6%  mhc_attn_site
    24.197    14735      1.64   0.6%  mla_o_proj
    23.745    55259      0.43   0.6%  mhc_ffn_site
    17.510    52802      0.33   0.4%  moe_router
    16.063    75888      0.21   0.4%  kda_gate_proj
    11.563    14735      0.78   0.3%  idx_op
    11.443    14735      0.78   0.3%  mla_q_b
    10.432     3684      2.83   0.3%  dense_ffn
     8.788    14735      0.60   0.2%  mla_absorb_bmm
     8.112    14735      0.55   0.2%  mla_qkv_a
     7.899    14735      0.54   0.2%  mla_vup
     7.420     1227      6.05   0.2%  sample_and_reject
     6.733    14735      0.46   0.2%  idx_wq_b
     5.932    14735      0.40   0.1%  idx_wk
     3.913    14735      0.27   0.1%  idx_insert
