   seconds    count   ms/call  share  phase
   308.421      635    485.70  23.8%  execute_model
   305.352      630    484.69  23.6%  target_forward
   119.111    26500      4.49   9.2%  moe
   110.236    21453      5.14   8.5%  kda_attn
    81.324    26728      3.04   6.3%  moe_routed
    48.092    21453      2.24   3.7%  kda_core
    47.160     6941      6.79   3.6%  mla_attn
    31.482    21453      1.47   2.4%  kda_in_proj
    25.684    26389      0.97   2.0%  moe_w13
    18.956      340     55.75   1.5%  moe_mm_w13
    18.945     7169      2.64   1.5%  mla_core
    18.053    26729      0.68   1.4%  moe_shared
    17.846      340     52.49   1.4%  moe_mm_w2
    16.910    21453      0.79   1.3%  kda_o_proj
    15.345    26389      0.58   1.2%  moe_w2sum
    11.216    28394      0.40   0.9%  mhc_attn_site
    11.096    28394      0.39   0.9%  mhc_ffn_site
    10.420     7169      1.45   0.8%  mla_indexer
    10.195      630     16.18   0.8%  sample_tokens
     9.481     7169      1.32   0.7%  mla_mqa
     9.392     7169      1.31   0.7%  mla_o_proj
     8.283    26729      0.31   0.6%  moe_router
     6.811    35257      0.19   0.5%  kda_gate_proj
     5.299     7169      0.74   0.4%  idx_op
     4.206     7169      0.59   0.3%  mla_absorb_bmm
     3.761     1893      1.99   0.3%  dense_ffn
     3.582     7169      0.50   0.3%  mla_q_b
     2.974     7169      0.41   0.2%  mla_qkv_a
     2.926     7169      0.41   0.2%  mla_vup
     2.906      228     12.75   0.2%  drafter_propose
     2.692      630      4.27   0.2%  sample_and_reject
     2.563     7169      0.36   0.2%  idx_wq_b
     2.326     7169      0.32   0.2%  idx_wk
     1.643     7169      0.23   0.1%  idx_insert
