   seconds    count   ms/call  share  phase
   494.992      778    636.24  22.3%  execute_model
   490.217      773    634.17  22.1%  target_forward
   265.429    32507      8.17  12.0%  moe
   220.451    33280      6.62   9.9%  moe_routed
   119.447    26316      4.54   5.4%  kda_attn
    96.239    32765      2.94   4.3%  moe_w13
    66.066     8514      7.76   3.0%  mla_attn
    50.333    26316      1.91   2.3%  kda_in_proj
    47.406    32764      1.45   2.1%  moe_w2sum
    37.322      516     72.33   1.7%  moe_mm_w2
    34.791      516     67.43   1.6%  moe_mm_w13
    30.524    26316      1.16   1.4%  kda_core
    30.497     9287      3.28   1.4%  mla_core
    28.104      773     36.36   1.3%  sample_tokens
    24.686    33281      0.74   1.1%  moe_shared
    19.960    26316      0.76   0.9%  kda_o_proj
    18.109      773     23.43   0.8%  drafter_propose
    17.990     9287      1.94   0.8%  mla_mqa
    15.196     9287      1.64   0.7%  mla_indexer
    14.850    34830      0.43   0.7%  mhc_attn_site
    14.517    34830      0.42   0.7%  mhc_ffn_site
    12.247     9287      1.32   0.6%  mla_o_proj
    10.934    33281      0.33   0.5%  moe_router
     9.271    44880      0.21   0.4%  kda_gate_proj
     7.240     2322      3.12   0.3%  dense_ffn
     7.229     9287      0.78   0.3%  idx_op
     6.399     9287      0.69   0.3%  mla_q_b
     4.917     9287      0.53   0.2%  mla_absorb_bmm
     4.633     9287      0.50   0.2%  mla_qkv_a
     4.432     9287      0.48   0.2%  mla_vup
     4.392      773      5.68   0.2%  sample_and_reject
     3.998     9287      0.43   0.2%  idx_wq_b
     3.651     9287      0.39   0.2%  idx_wk
     2.425     9287      0.26   0.1%  idx_insert
