   seconds    count   ms/call  share  phase
   537.468      519   1035.58  21.8%  execute_model
   531.610      511   1040.33  21.6%  target_forward
   322.095    21503     14.98  13.1%  moe
   288.268    22014     13.09  11.7%  moe_routed
   138.339     9331     14.83   5.6%  moe_mm_w13
   119.181    17408      6.85   4.8%  kda_attn
   101.736     9331     10.90   4.1%  moe_mm_w2
    61.185     5632     10.86   2.5%  mla_attn
    58.167    17408      3.34   2.4%  kda_in_proj
    34.352     6143      5.59   1.4%  mla_core
    29.802      511     58.32   1.2%  sample_tokens
    28.587    17408      1.64   1.2%  kda_core
    24.847     6143      4.04   1.0%  mla_mqa
    23.115    12684      1.82   0.9%  moe_w13
    20.063    22015      0.91   0.8%  moe_shared
    18.363    17408      1.05   0.7%  kda_o_proj
    18.356      511     35.92   0.7%  drafter_propose
    12.049    12684      0.95   0.5%  moe_w2sum
    11.579     6143      1.88   0.5%  mla_o_proj
    10.756     6143      1.75   0.4%  mla_indexer
    10.718    23040      0.47   0.4%  mhc_attn_site
    10.209    23040      0.44   0.4%  mhc_ffn_site
     7.341    22015      0.33   0.3%  moe_router
     6.033    32912      0.18   0.2%  kda_gate_proj
     5.855      511     11.46   0.2%  sample_and_reject
     5.708     1536      3.72   0.2%  dense_ffn
     4.924     6143      0.80   0.2%  mla_q_b
     4.847     6143      0.79   0.2%  idx_op
     3.853     6143      0.63   0.2%  mla_absorb_bmm
     3.538     6143      0.58   0.1%  mla_vup
     3.084     6143      0.50   0.1%  idx_wq_b
     3.075     6143      0.50   0.1%  mla_qkv_a
     2.523     6143      0.41   0.1%  idx_wk
     1.532     6143      0.25   0.1%  idx_insert
